name,team,primary_position,salary,avg_pts,proj_pts_dk,ceiling,floor,value,proj_own,gpp_score,matchup,game_total
Caleb Love,POR,PG,3000,20.23,20.08,27.27,12.89,6.693,22.7,29.112,POR@HOU,229.0
Kris Dunn,LAC,PG,5400,20.57,19.77,26.86,12.68,3.661,36.2,27.438,LAC@SAS,218.5
Sam Hauser,BOS,SF,4800,19.02,19.6,26.63,12.57,4.083,34.1,27.468,DAL@BOS,224.5
Derrick Jones Jr.,LAC,SF,4900,20.18,19.4,26.35,12.45,3.959,34.3,27.23,LAC@SAS,218.5
Jonas Valanciunas,DEN,C,4000,18.45,19.31,26.23,12.39,4.828,31.1,27.456,NYK@DEN,230.0
Bruce Brown,DEN,PG,4400,18.34,19.2,26.09,12.31,4.364,32.8,27.174,NYK@DEN,230.0
Harrison Barnes,SAS,PF,3500,19.07,19.17,26.04,12.3,5.477,28.8,27.536,LAC@SAS,218.5
Jose Alvarado,NYK,PG,3500,18.66,18.51,25.14,11.88,5.289,28.7,26.842,NYK@DEN,230.0
Klay Thompson,DAL,SG,4100,18.96,18.47,25.09,11.85,4.505,31.2,26.551,DAL@BOS,224.5
Oso Ighodaro,PHX,C,5200,17.22,17.57,23.87,11.27,3.379,34.4,25.275,NOP@PHX,222.5
Grant Williams,CHA,PF,4100,17.1,17.12,23.25,10.99,4.176,30.9,25.14,MIA@CHA,216.5
Jordan Miller,LAC,PG,4400,17.56,16.88,22.93,10.83,3.836,32.1,24.768,LAC@SAS,218.5
Yves Missi,NOP,C,3500,17.32,16.83,22.86,10.8,4.809,28.1,25.113,NOP@PHX,222.5
Dereck Lively II,DAL,C,3000,17.25,16.8,22.82,10.78,5.6,21.0,25.792,DAL@BOS,224.5
Landry Shamet,NYK,SG,3800,16.94,16.8,22.82,10.78,4.421,29.1,24.982,NYK@DEN,230.0
Vit Krejci,POR,SG,4000,16.88,16.75,22.75,10.75,4.188,29.7,24.868,POR@HOU,229.0
